comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;3.0TD;CORINDON;CONS. 40.000 - 50.000 KW;;;1.239,00 €;1.053,15 €;991,20 €;892,08 €;99,12 €;792,96 €;198,24 €;495,60 €;495,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 50.000 - 70.000 KW;;;1.971,00 €;1.675,35 €;1.576,80 €;1.419,12 €;157,68 €;1.261,44 €;315,36 €;788,40 €;788,40 €
ALUMBRA;3.0TD;CORINDON;CONS. 70.000 - 100.000 KW;;;2.427,00 €;2.062,95 €;1.941,60 €;1.747,44 €;194,16 €;1.553,28 €;388,32 €;970,80 €;970,80 €
ALUMBRA;3.0TD;CORINDON;CONS. 100.000 - 150.000 KW;;;3.224,00 €;2.740,40 €;2.579,20 €;2.321,28 €;257,92 €;2.063,36 €;515,84 €;1.289,60 €;1.289,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 150.000 - 200.000 KW;;;3.565,00 €;3.030,25 €;2.852,00 €;2.566,80 €;285,20 €;2.281,60 €;570,40 €;1.426,00 €;1.426,00 €
ALUMBRA;3.0TD;CORINDON;CONS. 200.000 - 300.000 KW;;;5.709,00 €;4.852,65 €;4.567,20 €;4.110,48 €;456,72 €;3.653,76 €;913,44 €;2.283,60 €;2.283,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 300.000 - 400.000 KW;;;7.417,00 €;6.304,45 €;5.933,60 €;5.340,24 €;593,36 €;4.746,88 €;1.186,72 €;2.966,80 €;2.966,80 €
ALUMBRA;3.0TD;CORINDON;CONS. 400.000 - 500.000 KW;;;8.950,00 €;7.607,50 €;7.160,00 €;6.444,00 €;716,00 €;5.728,00 €;1.432,00 €;3.580,00 €;3.580,00 €
ALUMBRA;3.0TD;CORINDON;CONS. 500.000 - 700.000 KW;;;13.739,00 €;11.678,15 €;10.991,20 €;9.892,08 €;1.099,12 €;8.792,96 €;2.198,24 €;5.495,60 €;5.495,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 700.000 - 1.200.000 KW;;;18.094,00 €;15.379,90 €;14.475,20 €;13.027,68 €;1.447,52 €;11.580,16 €;2.895,04 €;7.237,60 €;7.237,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 1.200.000 - 2.500.000 KW;;;18.264,00 €;15.524,40 €;14.611,20 €;13.150,08 €;1.461,12 €;11.688,96 €;2.922,24 €;7.305,60 €;7.305,60 €
ALUMBRA;3.0TD;CORINDON;CONS. > 2.500.000 KW;;;21.008,00 €;17.856,80 €;16.806,40 €;15.125,76 €;1.680,64 €;13.445,12 €;3.361,28 €;8.403,20 €;8.403,20 €
ALUMBRA;6.1TD;CORINDON;CONS. 0 - 5.000 KW;;;236,00 €;200,60 €;188,80 €;169,92 €;18,88 €;151,04 €;37,76 €;94,40 €;94,40 €
ALUMBRA;6.1TD;CORINDON;CONS. 5.000 - 10.000 KW;;;282,00 €;239,70 €;225,60 €;203,04 €;22,56 €;180,48 €;45,12 €;112,80 €;112,80 €
ALUMBRA;6.1TD;CORINDON;CONS. 10.000 - 20.000 KW;;;476,00 €;404,60 €;380,80 €;342,72 €;38,08 €;304,64 €;76,16 €;190,40 €;190,40 €
ALUMBRA;6.1TD;CORINDON;CONS. 20.000 - 30.000 KW;;;740,00 €;629,00 €;592,00 €;532,80 €;59,20 €;473,60 €;118,40 €;296,00 €;296,00 €
