comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L0;CONS. 250.000 - 499.999 KW;;;1.440,00 €;1.296,00 €;1.152,00 €;1.036,80 €;115,20 €;921,60 €;230,40 €;576,00 €;576,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC REPOS 2 12M L2;CONS. 250.000 - 499.999 KW;;;1.026,00 €;923,40 €;820,80 €;738,72 €;82,08 €;656,64 €;164,16 €;410,40 €;410,40 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L4;CONS. 250.000 - 499.999 KW;;;810,00 €;729,00 €;648,00 €;583,20 €;64,80 €;518,40 €;129,60 €;324,00 €;324,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L8;CONS. 250.000 - 499.999 KW;;;522,00 €;469,80 €;417,60 €;375,84 €;41,76 €;334,08 €;83,52 €;208,80 €;208,80 €
REPSOL;3.0TD;SOLAR EMPRESA SBC REPOS2 12M L8;CONS. 250.000 - 499.999 KW;;;522,00 €;469,80 €;417,60 €;375,84 €;41,76 €;334,08 €;83,52 €;208,80 €;208,80 €
REPSOL;3.0TD;SOLAR NOCHES+FINES_SEMANA SBC REPOS2 12M L2;CONS. 250.000 - 499.999 KW;;;1.026,00 €;923,40 €;820,80 €;738,72 €;82,08 €;656,64 €;164,16 €;410,40 €;410,40 €
REPSOL;6.1TD;PRESENCIALES 12M L0;CONS. 0 - 9.999 KW;;;126,00 €;113,40 €;100,80 €;90,72 €;10,08 €;80,64 €;20,16 €;50,40 €;50,40 €
REPSOL;6.1TD;PRESENCIALES 12M L0;CONS. 10.000 - 29.999 KW;;;378,00 €;340,20 €;302,40 €;272,16 €;30,24 €;241,92 €;60,48 €;151,20 €;151,20 €
REPSOL;6.1TD;PRESENCIALES 12M L0;CONS. 30.000 - 64.999 KW;;;504,00 €;453,60 €;403,20 €;362,88 €;40,32 €;322,56 €;80,64 €;201,60 €;201,60 €
REPSOL;6.1TD;PRESENCIALES 12M L0;CONS. 65.000 - 99.999 KW;;;720,00 €;648,00 €;576,00 €;518,40 €;57,60 €;460,80 €;115,20 €;288,00 €;288,00 €
REPSOL;6.1TD;PRESENCIALES 12M L0;CONS. 100.000 - 249.999 KW;;;900,00 €;810,00 €;720,00 €;648,00 €;72,00 €;576,00 €;144,00 €;360,00 €;360,00 €
REPSOL;6.1TD;PRESENCIALES 12M L0;CONS. 250.000 - 499.999 KW;;;1.440,00 €;1.296,00 €;1.152,00 €;1.036,80 €;115,20 €;921,60 €;230,40 €;576,00 €;576,00 €
REPSOL;3.0TD;INDEXADO BRONCE PRESENCIALES NUEVO 12M L0;CONS. 0 - 9.999 KW;;;126,00 €;113,40 €;100,80 €;90,72 €;10,08 €;80,64 €;20,16 €;50,40 €;50,40 €
REPSOL;3.0TD;INDEXADO BRONCE PRESENCIALES NUEVO 12M L2;CONS. 0 - 9.999 KW;;;108,00 €;97,20 €;86,40 €;77,76 €;8,64 €;69,12 €;17,28 €;43,20 €;43,20 €
REPSOL;3.0TD;INDEXADO BRONCE PRESENCIALES NUEVO 12M L4;CONS. 0 - 9.999 KW;;;90,00 €;81,00 €;72,00 €;64,80 €;7,20 €;57,60 €;14,40 €;36,00 €;36,00 €
REPSOL;3.0TD;INDEXADO BRONCE PRESENCIALES NUEVO 12M L8;CONS. 0 - 9.999 KW;;;45,00 €;40,50 €;36,00 €;32,40 €;3,60 €;28,80 €;7,20 €;18,00 €;18,00 €
REPSOL;3.0TD;INDEXADO PLATA PRESENCIALES NUEVO 12M L0;CONS. 10.000 - 29.999 KW;;;378,00 €;94,50 €;84,00 €;75,60 €;8,40 €;67,20 €;16,80 €;42,00 €;42,00 €
REPSOL;3.0TD;INDEXADO PLATA PRESENCIALES NUEVO 12M L2;CONS. 10.000 - 29.999 KW;;;270,00 €;113,40 €;100,80 €;90,72 €;10,08 €;80,64 €;20,16 €;50,40 €;50,40 €
REPSOL;3.0TD;INDEXADO PLATA PRESENCIALES NUEVO 12M L4;CONS. 10.000 - 29.999 KW;;;202,20 €;126,00 €;112,00 €;100,80 €;11,20 €;89,60 €;22,40 €;56,00 €;56,00 €
REPSOL;3.0TD;INDEXADO PLATA PRESENCIALES NUEVO 12M L8;CONS. 10.000 - 29.999 KW;;;144,00 €;180,00 €;160,00 €;144,00 €;16,00 €;128,00 €;32,00 €;80,00 €;80,00 €
REPSOL;3.0TD;INDEXADO ORO PRESENCIALES NUEVO 12M L0;CONS. 30.000 - 64.999 KW;;;504,00 €;453,60 €;403,20 €;362,88 €;40,32 €;322,56 €;80,64 €;201,60 €;201,60 €
REPSOL;3.0TD;INDEXADO ORO PRESENCIALES NUEVO 12M L2;CONS. 30.000 - 64.999 KW;;;360,00 €;324,00 €;288,00 €;259,20 €;28,80 €;230,40 €;57,60 €;144,00 €;144,00 €
REPSOL;3.0TD;INDEXADO ORO PRESENCIALES NUEVO 12M L4;CONS. 30.000 - 64.999 KW;;;270,00 €;243,00 €;216,00 €;194,40 €;21,60 €;172,80 €;43,20 €;108,00 €;108,00 €
REPSOL;3.0TD;INDEXADO ORO PRESENCIALES NUEVO 12M L8;CONS. 30.000 - 64.999 KW;;;180,00 €;162,00 €;144,00 €;129,60 €;14,40 €;115,20 €;28,80 €;72,00 €;72,00 €
REPSOL;3.0TD;INDEXADO PLATINO PRESENCIALES NUEVO 12M L0;CONS. 65.000 - 99.999 KW;;;720,00 €;648,00 €;576,00 €;518,40 €;57,60 €;460,80 €;115,20 €;288,00 €;288,00 €
REPSOL;3.0TD;INDEXADO PLATINO PRESENCIALES NUEVO 12M L2;CONS. 65.000 - 99.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
