comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 750.001 - 1.000.000 KW;;;5.000,00 €;4.250,00 €;4.000,00 €;3.600,00 €;400,00 €;3.200,00 €;800,00 €;2.000,00 €;2.000,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 1.000.001 - 1.250.000 KW;;;6.350,00 €;5.397,50 €;5.080,00 €;4.572,00 €;508,00 €;4.064,00 €;1.016,00 €;2.540,00 €;2.540,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 1.250.001 - 3.000.000 KW;;;7.750,00 €;6.587,50 €;6.200,00 €;5.580,00 €;620,00 €;4.960,00 €;1.240,00 €;3.100,00 €;3.100,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 0 - 1.500 KW;;;44,00 €;37,40 €;35,20 €;31,68 €;3,52 €;28,16 €;7,04 €;17,60 €;17,60 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 1.501 - 3.000 KW;;;75,00 €;63,75 €;60,00 €;54,00 €;6,00 €;48,00 €;12,00 €;30,00 €;30,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 3.001 - 5.000 KW;;;107,00 €;90,95 €;85,60 €;77,04 €;8,56 €;68,48 €;17,12 €;42,80 €;42,80 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 5.001 - 10.000 KW;;;146,00 €;124,10 €;116,80 €;105,12 €;11,68 €;93,44 €;23,36 €;58,40 €;58,40 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 10.001 - 20.000 KW;;;255,00 €;216,75 €;204,00 €;183,60 €;20,40 €;163,20 €;40,80 €;102,00 €;102,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 20.001 - 35.000 KW;;;304,00 €;258,40 €;243,20 €;218,88 €;24,32 €;194,56 €;48,64 €;121,60 €;121,60 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 35.001 - 50.000 KW;;;401,00 €;340,85 €;320,80 €;288,72 €;32,08 €;256,64 €;64,16 €;160,40 €;160,40 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 50.001 - 65.000 KW;;;552,00 €;469,20 €;441,60 €;397,44 €;44,16 €;353,28 €;88,32 €;220,80 €;220,80 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 65.001 - 85.000 KW;;;644,00 €;547,40 €;515,20 €;463,68 €;51,52 €;412,16 €;103,04 €;257,60 €;257,60 €
TOTAL_PYME;2.0TD;CLASICA BASE TE2;CONS. 85.001 - 100.000 KW;;;760,00 €;646,00 €;608,00 €;547,20 €;60,80 €;486,40 €;121,60 €;304,00 €;304,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 0 - 1.500 KW;;;118,00 €;100,30 €;94,40 €;84,96 €;9,44 €;75,52 €;18,88 €;47,20 €;47,20 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 1.501 - 3.000 KW;;;144,00 €;122,40 €;115,20 €;103,68 €;11,52 €;92,16 €;23,04 €;57,60 €;57,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 3.001 - 5.000 KW;;;150,00 €;127,50 €;120,00 €;108,00 €;12,00 €;96,00 €;24,00 €;60,00 €;60,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 5.001 - 10.000 KW;;;170,00 €;144,50 €;136,00 €;122,40 €;13,60 €;108,80 €;27,20 €;68,00 €;68,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 10.001 - 20.000 KW;;;251,00 €;213,35 €;200,80 €;180,72 €;20,08 €;160,64 €;40,16 €;100,40 €;100,40 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 20.001 - 30.000 KW;;;361,00 €;306,85 €;288,80 €;259,92 €;28,88 €;231,04 €;57,76 €;144,40 €;144,40 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 30.001 - 40.000 KW;;;434,00 €;368,90 €;347,20 €;312,48 €;34,72 €;277,76 €;69,44 €;173,60 €;173,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 40.001 - 50.000 KW;;;496,00 €;421,60 €;396,80 €;357,12 €;39,68 €;317,44 €;79,36 €;198,40 €;198,40 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 50.001 - 75.000 KW;;;654,00 €;555,90 €;523,20 €;470,88 €;52,32 €;418,56 €;104,64 €;261,60 €;261,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 75.001 - 100.000 KW;;;849,00 €;721,65 €;679,20 €;611,28 €;67,92 €;543,36 €;135,84 €;339,60 €;339,60 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 100.001 - 150.000 KW;;;1.070,00 €;909,50 €;856,00 €;770,40 €;85,60 €;684,80 €;171,20 €;428,00 €;428,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 150.001 - 200.000 KW;;;1.345,00 €;1.143,25 €;1.076,00 €;968,40 €;107,60 €;860,80 €;215,20 €;538,00 €;538,00 €
TOTAL_PYME;3.0TD;CLASICA BASE TE2;CONS. 200.001 - 300.000 KW;;;1.616,00 €;1.373,60 €;1.292,80 €;1.163,52 €;129,28 €;1.034,24 €;258,56 €;646,40 €;646,40 €
