comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 700.000 - 1.200.000 kW;;;4.370,00 €;3.714,50 €;3.496,00 €;3.146,40 €;349,60 €;2.796,80 €;699,20 €;1.748,00 €;1.748,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. > 1.200.000 kW;;;4.600,00 €;3.910,00 €;3.680,00 €;3.312,00 €;368,00 €;2.944,00 €;736,00 €;1.840,00 €;1.840,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 0 - 10.000 kW;;;138,00 €;117,30 €;110,40 €;99,36 €;11,04 €;88,32 €;22,08 €;55,20 €;55,20 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 10.000 - 20.000 kW;;;173,00 €;147,05 €;138,40 €;124,56 €;13,84 €;110,72 €;27,68 €;69,20 €;69,20 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 20.000 - 30.000 kW;;;207,00 €;175,95 €;165,60 €;149,04 €;16,56 €;132,48 €;33,12 €;82,80 €;82,80 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 30.000 - 40.000 kW;;;253,00 €;215,05 €;202,40 €;182,16 €;20,24 €;161,92 €;40,48 €;101,20 €;101,20 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 40.000 - 50.000 kW;;;345,00 €;293,25 €;276,00 €;248,40 €;27,60 €;220,80 €;55,20 €;138,00 €;138,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 50.000 - 70.000 kW;;;460,00 €;391,00 €;368,00 €;331,20 €;36,80 €;294,40 €;73,60 €;184,00 €;184,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 70.000 - 100.000 kW;;;575,00 €;488,75 €;460,00 €;414,00 €;46,00 €;368,00 €;92,00 €;230,00 €;230,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 100.000 - 150.000kW;;;690,00 €;586,50 €;552,00 €;496,80 €;55,20 €;441,60 €;110,40 €;276,00 €;276,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 150.000 - 200.000 kW;;;863,00 €;733,55 €;690,40 €;621,36 €;69,04 €;552,32 €;138,08 €;345,20 €;345,20 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 200.000 - 300.000 kW;;;978,00 €;831,30 €;782,40 €;704,16 €;78,24 €;625,92 €;156,48 €;391,20 €;391,20 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 300.000 - 400.000 kW;;;1.150,00 €;977,50 €;920,00 €;828,00 €;92,00 €;736,00 €;184,00 €;460,00 €;460,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 400.000 - 500.000 kW;;;1.725,00 €;1.466,25 €;1.380,00 €;1.242,00 €;138,00 €;1.104,00 €;276,00 €;690,00 €;690,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 500.000 - 700.000 kW;;;2.530,00 €;2.150,50 €;2.024,00 €;1.821,60 €;202,40 €;1.619,20 €;404,80 €;1.012,00 €;1.012,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. 700.000 - 1.200.000 kW;;;2.875,00 €;2.443,75 €;2.300,00 €;2.070,00 €;230,00 €;1.840,00 €;460,00 €;1.150,00 €;1.150,00 €
PLENITUDE;3.0TD;FACIL POWER;Cons. > 1.200.000 kW;;;3.450,00 €;2.932,50 €;2.760,00 €;2.484,00 €;276,00 €;2.208,00 €;552,00 €;1.380,00 €;1.380,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 0 - 10.000 kW;;;138,00 €;117,30 €;110,40 €;99,36 €;11,04 €;88,32 €;22,08 €;55,20 €;55,20 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 10.000 - 20.000 kW;;;173,00 €;147,05 €;138,40 €;124,56 €;13,84 €;110,72 €;27,68 €;69,20 €;69,20 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 20.000 - 30.000 kW;;;207,00 €;175,95 €;165,60 €;149,04 €;16,56 €;132,48 €;33,12 €;82,80 €;82,80 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 30.000 - 40.000 kW;;;253,00 €;215,05 €;202,40 €;182,16 €;20,24 €;161,92 €;40,48 €;101,20 €;101,20 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 40.000 - 50.000 kW;;;345,00 €;293,25 €;276,00 €;248,40 €;27,60 €;220,80 €;55,20 €;138,00 €;138,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 50.000 - 70.000 kW;;;460,00 €;391,00 €;368,00 €;331,20 €;36,80 €;294,40 €;73,60 €;184,00 €;184,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 70.000 - 100.000 kW;;;575,00 €;488,75 €;460,00 €;414,00 €;46,00 €;368,00 €;92,00 €;230,00 €;230,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 100.000 - 150.000kW;;;690,00 €;586,50 €;552,00 €;496,80 €;55,20 €;441,60 €;110,40 €;276,00 €;276,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 150.000 - 200.000 kW;;;863,00 €;733,55 €;690,40 €;621,36 €;69,04 €;552,32 €;138,08 €;345,20 €;345,20 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 200.000 - 300.000 kW;;;978,00 €;831,30 €;782,40 €;704,16 €;78,24 €;625,92 €;156,48 €;391,20 €;391,20 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 300.000 - 400.000 kW;;;1.150,00 €;977,50 €;920,00 €;828,00 €;92,00 €;736,00 €;184,00 €;460,00 €;460,00 €
PLENITUDE;3.0TD;FACIL ENERGY;Cons. 400.000 - 500.000 kW;;;1.725,00 €;1.466,25 €;1.380,00 €;1.242,00 €;138,00 €;1.104,00 €;276,00 €;690,00 €;690,00 €
